|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|
|1   |     0|0011000000111001|  0  |      0|   0   |    0|    0|
|1+  |     0|1110110000010000|  0  |      0|   0   |    0|    0|
|2   |     0|1110110000010000|  0  |      0|   0   |30216|    0|
|2+  |     0|0101101110100000|  0  |  -5103|   0   |30216|    0|
|3   |     0|0101101110100000|  0  |  18354|   0   |11728|    0|
|3+  |     0|1110000111010000|  0  |     -1|   0   |11728|    0|
|4   |     0|1110000111010000|  0  |     -1|   0   |28904|    0|
|4+  |     0|0000001111101000|  0  |  -5102|   0   |28904|    0|
|5   |     0|0000001111101000|  0  |  -5102|   0   |  500|    0|
|5+  |     0|1110001100001000|  0  |   5102|   0   |  500|    0|
|6   |     0|1110001100001000|  0  |   5102|   0   |29060|    0|
|6+  |     0|0000001111101001|  0  |  -5102|   0   |29060|    0|
|7   |     0|0000001111101001|  0  |  -5102|   0   |29060|    0|
|7+  |     0|1110001110011000|  0  |      0|   0   |29060|    0|
|8   |     0|1110001110011000|  0  |      0|   0   |29132|    0|
|8+  |     0|0000001111101000|  0  |  -5102|   0   |29132|    0|
|9   |     0|0000001111101000|  0  |  -5102|   0   |  500|    0|
|9+  | 11111|1111010011010000|  0  |      0|   0   |  500|    0|
|10  | 11111|1111010011010000|  0  |      0|   0   |31336|    0|
|10+ | 11111|0000000000001110|  0  |  10241|   0   |31336|    0|
|11  | 11111|0000000000001110|  0  |  10241|   0   |    7|    0|
|11+ | 11111|1110001100000100|  0  |   5088|   0   |    7|    0|
|12  | 11111|1110001100000100|  0  |  12522|   0   |29058|    0|
|12+ | 11111|0000001111100111|  0  |  -5102|   0   |29058|    0|
|13  | 11111|0000001111100111|  0  |  -5102|   0   |29058|    0|
|13+ | 11111|1110110111100000|  0  |   5101|   0   |29058|    0|
|14  | 11111|1110110111100000|  0  |  -5103|   0   |30448|    0|
|14+ | 11111|1110001100001000|  0  | -16213|   0   |30448|    0|
|15  | 11111|1110001100001000|  0  | -16213|   0   |29060|    0|
|15+ | 11111|0000000000010101|  0  |      0|   0   |29060|    0|
|16  | 11111|0000000000010101|  0  |      0|   0   |29060|    0|
|16+ | 11111|1110011111000010|  0  |  -5101|   0   |29060|    0|
|17  | 11111|1110011111000010|  0  |  -5101|   0   |29665|    0|
|17+ | 11111|0000000000000010|  0  |    960|   0   |29665|    0|
|18  | 11111|0000000000000010|  0  |      0|   0   |    1|    0|
|18+ | 11111|1110000010010000|  0  |      0|   0   |    1|    0|
|19  | 11111|1110000010010000|  0  |      0|   0   |28744|    0|
|19+ | 11111|0000001111101000|  0  |   5102|   0   |28744|    0|
|20  | 11111|0000001111101000|  0  |   5102|   0   |  500|    0|
|20+ | 11111|1110111010010000|  0  |     -1|   0   |  500|    0|
|21  | 11111|1110111010010000|  0  |     -1|   0   |30536|    0|
|21+ | 11111|1110001100000001|  0  |   4464|   0   |30536|    0|
|22  | 11111|1110001100000001|  0  |   4464|   0   |30536|    0|
|22+ | 11111|1110001100000010|  0  |   4464|   0   |30536|    0|
|23  | 11111|1110001100000010|  0  |   7422|   0   |29057|    0|
|23+ | 11111|1110001100000011|  0  |   7422|   0   |29057|    0|
|24  | 11111|1110001100000011|  0  |   7422|   0   |29057|    0|
|24+ | 11111|1110001100000100|  0  |   7422|   0   |29057|    0|
|25  | 11111|1110001100000100|  0  |   7420|   0   |29058|    0|
|25+ | 11111|1110001100000101|  0  |   7420|   0   |29058|    0|
|26  | 11111|1110001100000101|  0  |   7420|   0   |29058|    0|
|26+ | 11111|1110001100000110|  0  |   7420|   0   |29058|    0|
|27  | 11111|1110001100000110|  0  |   7418|   0   |29059|    0|
|27+ | 11111|1110001100000111|  0  |   7418|   0   |29059|    0|
